accuracy,loss,val_accuracy,val_loss,learning_rate,phase
0.36770692467689514,1.5445297956466675,0.4810126721858978,0.9886696934700012,9.999999747378752e-05,head
0.5468114018440247,1.1859512329101562,0.6772152185440063,0.7386282682418823,9.999999747378752e-05,head
0.6255088448524475,1.026050090789795,0.746835470199585,0.5995205044746399,9.999999747378752e-05,head
0.7109904885292053,0.8159745931625366,0.797468364238739,0.5123387575149536,9.999999747378752e-05,head
0.7137042284011841,0.7619218230247498,0.8164557218551636,0.4421806335449219,9.999999747378752e-05,head
0.7530528903007507,0.7156692743301392,0.8291139006614685,0.410643994808197,9.999999747378752e-05,head
0.744911789894104,0.8040924072265625,0.8417721390724182,0.38010168075561523,9.999999747378752e-05,head
0.7869741916656494,0.6158395409584045,0.8417721390724182,0.3571719229221344,9.999999747378752e-05,head
0.7625508904457092,0.6144282817840576,0.8544303774833679,0.3433202803134918,9.999999747378752e-05,head
0.7896879315376282,0.6109858751296997,0.8544303774833679,0.3320976495742798,9.999999747378752e-05,head
0.8127543926239014,0.6244791746139526,0.8354430198669434,0.3433592915534973,9.999999747378752e-05,head
0.7896879315376282,0.5728434324264526,0.8354430198669434,0.3483411967754364,9.999999747378752e-05,head
0.8005427122116089,0.544172465801239,0.8417721390724182,0.3285301923751831,9.999999747378752e-05,head
0.8168249726295471,0.5374322533607483,0.8417721390724182,0.31340646743774414,9.999999747378752e-05,head
0.8086838722229004,0.5746997594833374,0.8417721390724182,0.30826008319854736,9.999999747378752e-05,head
0.7245590090751648,0.8685834407806396,0.8417721390724182,0.352861225605011,9.999999747378752e-06,fine_tuning
0.7381275296211243,0.8313077688217163,0.8354430198669434,0.38686618208885193,9.999999747378752e-06,fine_tuning
0.74219810962677,0.7772125601768494,0.8227847814559937,0.4225770831108093,9.999999747378752e-06,fine_tuning
0.7639077305793762,0.7103362679481506,0.8101266026496887,0.4517819285392761,9.999999747378752e-06,fine_tuning
0.7503392100334167,0.7079031467437744,0.8101266026496887,0.4566035568714142,2.9999998787388904e-06,fine_tuning
0.7883310914039612,0.6321781277656555,0.8101266026496887,0.4585624933242798,2.9999998787388904e-06,fine_tuning
0.7937584519386292,0.6312964558601379,0.8037974834442139,0.46198582649230957,2.9999998787388904e-06,fine_tuning
