,benign,malignant,normal
count,159.0,159.0,159.0
mean,0.22396768629550934,0.4782988429069519,0.29773348569869995
std,0.29441264271736145,0.48090410232543945,0.3602524399757385
min,9.247466550732497e-06,2.0504578515101457e-06,1.3920869150751969e-06
25%,0.0011883798870258033,0.0002825105475494638,0.000450406878371723
50%,0.0531761534512043,0.26477259397506714,0.07319045066833496
75%,0.37049777805805206,0.9980895817279816,0.6605686545372009
max,0.9776492714881897,0.999985933303833,0.9907596111297607
